"id","edad","ingreso","educacion","experiencia","satisfaccion"
1,28,35063,4,5,9
2,32,34401,5,14,6
3,54,49730,2,5,2
4,36,48017,5,6,NA
5,37,11760,3,15,1
6,56,65609,3,7,8
7,41,53746,5,10,5
8,20,86243,3,17,2
9,27,60278,2,2,7
10,30,43296,1,21,7
11,50,91961,3,24,5
12,39,92483,1,14,8
13,40,31719,3,13,9
14,36,57035,3,7,10
15,28,46831,3,13,5
16,56,52806,1,6,4
17,41,53413,1,12,2
18,11,31071,2,5,10
19,43,54284,3,16,9
20,29,76239,4,15,9
21,22,47539,3,19,5
22,32,47556,5,24,8
23,23,70979,2,5,4
24,26,63476,4,17,1
25,27,25273,2,0,5
26,15,53428,5,7,10
27,45,74803,5,17,NA
28,37,71229,2,5,7
29,21,56299,4,12,1
30,50,60818,2,4,6
31,40,32046,5,7,8
32,31,54502,4,10,5
33,46,35683,3,6,8
34,46,43130,2,-4,6
35,45,64034,4,12,8
36,43,32947,1,13,8
37,42,54004,3,11,4
38,34,56425,5,7,7
39,31,50824,5,16,6
40,30,77333,2,18,9
41,27,173325,2,-7,2
42,33,59092,2,18,4
43,20,48666,5,-2,7
44,61,46088,4,8,1
45,49,56961,1,2,3
46,22,34694,3,6,7
47,30,30298,2,19,9
48,29,42583,3,14,5
49,44,76276,3,13,3
50,34,50836,5,-5,8
51,38,54972,3,11,1
52,35,47152,2,14,7
53,34,57057,4,16,6
54,51,35725,4,3,2
55,32,67369,4,17,1
56,53,58771,2,0,1
57,16,37903,1,22,3
58,42,50818,3,4,3
59,36,60745,3,15,8
60,38,58366,2,12,3
61,40,72229,3,3,10
62,29,40805,3,18,5
63,NA,66742,4,10,5
64,23,65548,3,16,6
65,22,47563,2,12,9
66,39,35361,2,16,2
67,40,33663,5,10,NA
68,36,56867,3,18,9
69,46,48933,3,8,10
70,NA,383435,4,14,5
71,29,58027,2,13,5
72,7,44421,2,16,5
73,NA,34617,4,6,3
74,26,41264,3,11,8
75,27,55143,5,6,7
76,47,43236,1,16,6
77,32,57713,5,6,3
78,20,44985,5,22,8
79,37,48417,4,16,6
80,33,39042,2,10,3
81,35,78576,4,18,6
82,40,54989,3,9,4
83,31,53460,2,14,9
84,43,24622,5,14,9
85,32,299485,3,13,4
86,39,34646,5,6,4
87,48,36627,4,1,NA
88,40,63775,2,-2,5
89,31,43209,2,7,6
90,49,23774,2,15,5
91,47,76549,4,8,8
92,42,14339,4,2,NA
93,38,58592,4,25,NA
94,27,65259,3,15,7
95,51,40535,4,24,9
96,28,56664,2,18,6
97,61,56587,3,6,8
98,53,65609,1,7,10
99,32,57261,3,0,1
100,23,46327,2,15,3
101,26,63740,4,21,8
102,38,62009,3,4,7
103,32,35951,4,2,8
104,31,28988,1,16,8
105,24,52404,5,-1,3
106,34,45891,4,23,3
107,NA,35217,1,14,4
108,15,51259,2,-2,2
109,30,30200,4,12,2
110,46,52418,5,11,6
111,28,40626,2,-7,5
112,42,64357,4,10,3
113,16,86367,4,6,6
114,34,36260,2,4,6
115,41,65865,2,12,1
116,39,62377,4,16,5
117,36,48947,2,22,2
118,27,43195,4,-8,4
119,25,73630,2,15,6
120,23,19918,5,3,2
121,NA,40352,5,18,2
122,24,28447,5,12,4
123,29,70930,3,20,4
124,32,47139,4,0,3
125,57,42130,1,13,9
126,NA,97761,1,12,4
127,38,49249,2,17,4
128,36,43344,5,8,7
129,23,54498,2,18,6
130,34,26474,3,7,2
131,52,286775,3,7,8
132,40,48558,4,10,5
133,35,285140,4,3,2
134,30,35264,1,7,8
135,10,34655,2,18,9
136,49,39599,3,22,9
137,17,38480,3,18,8
138,44,69486,3,7,5
139,58,73687,3,12,9
140,18,47647,5,11,4
141,43,44616,2,1,4
142,32,45064,2,12,7
143,16,51039,4,4,2
144,17,51454,3,3,6
145,16,54351,3,15,7
146,29,38800,2,5,7
147,17,37297,3,9,8
148,43,67956,3,3,10
149,60,41771,2,10,10
150,20,54546,3,13,4
151,44,49145,3,14,10
152,44,35632,3,2,6
153,39,58866,5,19,4
154,23,52597,5,20,2
155,34,354985,3,13,2
156,32,51762,2,11,2
157,42,45027,4,11,8
158,31,54174,2,12,3
159,47,32216,3,13,10
160,31,37462,1,11,4
161,48,57654,3,15,2
162,22,45003,3,8,2
163,20,49011,3,18,3
164,NA,48272,3,10,9
165,30,40242,2,-2,10
166,39,19720,3,9,3
167,43,55233,4,13,10
168,29,61425,4,19,3
169,41,30669,4,10,6
170,39,72236,1,-4,2
171,32,55777,3,10,1
172,36,70125,5,2,5
173,35,35642,3,3,4
174,61,262510,3,3,5
175,26,48500,4,4,9
176,22,61528,2,18,7
177,35,41362,3,4,10
178,NA,49849,3,7,1
179,40,23320,3,11,5
180,29,38336,3,16,4
181,22,51876,5,5,3
182,50,39405,2,4,4
183,31,49346,2,6,7
184,25,42981,5,2,9
185,32,59104,3,16,6
186,33,67527,4,-5,3
187,48,37662,4,6,3
188,36,45394,3,0,2
189,44,71596,4,-4,8
190,29,17016,2,10,10
191,38,45202,3,21,9
192,31,80971,2,21,5
193,36,82904,3,6,6
194,24,52349,5,5,NA
195,19,37046,4,6,8
196,59,52482,3,15,5
197,42,40208,5,-8,6
198,20,71792,5,12,10
199,28,37903,2,7,7
200,21,55594,2,5,5
201,61,59298,4,-4,5
202,51,38637,3,9,2
203,32,62773,2,-2,9
204,42,38781,4,10,10
205,30,59454,5,4,6
206,29,66450,4,10,9
207,26,35173,4,13,NA
208,28,66620,5,6,7
209,55,42657,2,3,8
210,34,54415,3,6,5
211,36,53028,3,5,8
212,38,43592,5,0,6
213,50,54022,4,5,5
214,29,31544,4,9,2
215,23,47958,4,8,1
216,55,62387,2,12,9
217,30,17388,2,19,10
218,26,27681,3,12,6
219,20,32571,2,20,3
220,20,26164,4,5,NA
221,28,56294,4,19,4
222,42,35106,4,14,NA
223,48,17532,3,2,10
224,43,40436,3,13,6
225,31,44140,3,1,1
226,36,62852,4,17,9
227,27,33444,2,6,2
228,26,67419,4,8,4
229,46,55975,1,5,3
230,23,55435,3,4,2
231,58,37212,3,22,2
232,34,79305,2,17,6
233,38,47536,4,15,9
234,26,22627,1,11,1
235,28,46942,2,15,9
236,19,20983,4,15,9
237,33,45342,3,21,7
238,40,43667,3,16,7
239,39,60227,4,9,4
240,26,65142,4,8,2
241,26,39108,4,7,4
242,29,62092,5,7,6
243,53,71365,3,8,4
244,21,38238,3,19,5
245,33,40214,5,-6,4
246,58,59762,3,5,5
247,34,52746,5,9,7
248,19,58232,3,1,1
249,27,71070,5,21,8
250,41,55806,5,8,2
251,30,65776,5,2,4
252,28,59344,4,4,7
253,31,56504,4,16,7
254,36,55791,1,23,8
255,54,69370,4,9,1
256,34,34966,1,11,9
257,48,33422,2,3,6
258,43,58879,2,19,4
259,34,48205,2,15,3
260,17,51110,4,-6,7
261,29,61119,4,5,9
262,29,61299,4,8,7
263,36,46060,4,2,9
264,51,45312,2,8,2
265,63,51104,3,2,1
266,54,65945,5,13,3
267,33,56390,1,12,8
268,14,71495,4,16,4
269,30,49885,3,13,4
270,36,66885,1,21,2
271,45,63245,4,7,5
272,47,59181,5,-5,9
273,43,56221,4,10,8
274,18,45802,4,15,NA
275,45,48364,3,7,8
276,30,53441,3,20,8
277,37,50733,2,18,3
278,36,64148,4,14,3
279,40,48360,3,10,7
280,35,48944,3,6,3
281,15,42735,5,9,4
282,44,47925,2,13,2
283,40,48969,3,17,9
284,32,15294,2,8,8
285,36,29528,3,5,2
286,37,48913,2,27,7
287,38,46021,3,14,8
288,55,31987,2,4,5
289,32,20127,2,17,9
290,37,44684,4,10,5
291,49,59802,3,16,1
292,48,76599,4,10,8
293,NA,49423,3,10,8
294,28,72398,3,11,5
295,59,51245,2,13,4
296,36,51733,3,6,4
297,57,54872,3,5,6
298,19,36941,4,9,3
299,35,49224,4,11,5
300,50,63627,4,8,4
301,26,38754,2,12,8
302,26,45176,1,2,1
303,24,32783,1,0,8
304,22,55315,1,23,9
305,30,56372,2,13,8
306,39,59725,2,7,2
307,11,31703,1,8,5
