id,edad,ingreso,educacion,experiencia,satisfaccion
1,23.0,66996.0,4,9.0,1.0
2,31.0,24318.0,4,12.0,8.0
3,50.0,52899.0,3,9.0,8.0
4,37.0,61847.0,4,18.0,4.0
5,46.0,65480.0,4,8.0,9.0
6,42.0,33335.0,2,9.0,6.0
7,,44204.0,3,12.0,4.0
8,42.0,50612.0,2,0.0,6.0
9,31.0,65919.0,1,5.0,3.0
10,31.0,79547.0,2,15.0,9.0
11,36.0,53445.0,3,13.0,3.0
12,18.0,69306.0,3,11.0,10.0
13,49.0,47401.0,2,13.0,7.0
14,27.0,44753.0,3,2.0,8.0
15,47.0,331505.0,2,11.0,4.0
16,37.0,74599.0,2,6.0,3.0
17,53.0,78283.0,3,13.0,6.0
18,27.0,39276.0,1,22.0,6.0
19,31.0,34984.0,4,1.0,6.0
20,39.0,75140.0,4,21.0,8.0
21,18.0,18178.0,4,6.0,1.0
22,,46862.0,4,14.0,7.0
23,53.0,40726.0,2,3.0,5.0
24,49.0,71157.0,4,8.0,2.0
25,44.0,52105.0,3,2.0,2.0
26,33.0,58098.0,3,19.0,3.0
27,50.0,52725.0,4,24.0,
28,48.0,46183.0,4,6.0,7.0
29,40.0,58807.0,4,8.0,2.0
30,,35945.0,4,19.0,4.0
31,31.0,34383.0,3,4.0,3.0
32,20.0,43541.0,3,1.0,7.0
33,50.0,47090.0,3,15.0,2.0
34,18.0,39066.0,2,10.0,1.0
35,31.0,51677.0,4,19.0,6.0
36,37.0,83202.0,4,10.0,5.0
37,45.0,45951.0,3,0.0,9.0
38,56.0,63567.0,5,24.0,7.0
39,47.0,45469.0,3,8.0,9.0
40,32.0,337805.0,2,14.0,8.0
41,44.0,32748.0,5,10.0,8.0
42,20.0,63527.0,4,1.0,2.0
43,52.0,55332.0,3,0.0,10.0
44,33.0,56226.0,4,19.0,7.0
45,,31050.0,3,14.0,2.0
46,27.0,43036.0,3,23.0,7.0
47,34.0,70465.0,5,11.0,7.0
48,30.0,27062.0,2,11.0,8.0
49,62.0,43888.0,2,7.0,9.0
50,26.0,56838.0,4,0.0,4.0
51,35.0,79504.0,4,15.0,5.0
52,35.0,68130.0,2,8.0,7.0
53,35.0,70572.0,4,10.0,2.0
54,36.0,42994.0,4,11.0,5.0
55,29.0,52869.0,2,19.0,6.0
56,28.0,38826.0,3,9.0,4.0
57,25.0,45360.0,2,5.0,4.0
58,18.0,51647.0,3,10.0,3.0
59,38.0,38600.0,4,23.0,10.0
60,47.0,69737.0,3,12.0,10.0
61,28.0,50622.0,2,11.0,8.0
62,28.0,44463.0,3,8.0,7.0
63,31.0,36714.0,3,8.0,6.0
64,29.0,68793.0,3,3.0,8.0
65,18.0,59732.0,3,6.0,1.0
66,51.0,45507.0,3,11.0,2.0
67,40.0,31776.0,3,1.0,3.0
68,26.0,61777.0,3,9.0,5.0
69,39.0,47427.0,1,2.0,7.0
70,30.0,64110.0,2,4.0,1.0
71,32.0,50062.0,5,7.0,4.0
72,39.0,71079.0,4,10.0,7.0
73,46.0,49018.0,3,9.0,4.0
74,53.0,73610.0,1,20.0,9.0
75,55.0,61845.0,2,19.0,3.0
76,32.0,29665.0,1,8.0,6.0
77,29.0,45416.0,2,9.0,7.0
78,,73193.0,4,5.0,6.0
79,37.0,54031.0,3,21.0,4.0
80,26.0,41995.0,1,18.0,7.0
81,28.0,51254.0,4,3.0,2.0
82,45.0,67172.0,1,9.0,9.0
83,,55582.0,2,19.0,9.0
84,32.0,47079.0,2,7.0,4.0
85,27.0,24572.0,5,7.0,6.0
86,32.0,75135.0,2,17.0,1.0
87,23.0,36052.0,5,6.0,9.0
88,32.0,65849.0,3,25.0,4.0
89,40.0,26722.0,4,13.0,2.0
90,34.0,41662.0,3,7.0,6.0
91,50.0,36961.0,4,0.0,5.0
92,37.0,62797.0,1,16.0,4.0
93,41.0,41288.0,3,1.0,9.0
94,33.0,58481.0,2,13.0,1.0
95,,76117.0,4,12.0,6.0
96,20.0,51845.0,1,14.0,9.0
97,31.0,36644.0,4,0.0,6.0
98,21.0,45252.0,1,5.0,10.0
99,45.0,34876.0,3,14.0,4.0
100,45.0,62570.0,3,14.0,1.0
101,29.0,60445.0,5,21.0,9.0
102,55.0,54543.0,4,5.0,8.0
103,31.0,34088.0,1,0.0,4.0
104,18.0,17025.0,4,0.0,8.0
105,32.0,44638.0,4,11.0,4.0
106,39.0,45060.0,2,18.0,2.0
107,32.0,35307.0,4,7.0,5.0
108,62.0,36527.0,3,6.0,9.0
109,45.0,44311.0,3,16.0,10.0
110,56.0,61764.0,4,10.0,8.0
111,52.0,18617.0,2,8.0,8.0
112,18.0,42513.0,1,7.0,8.0
113,,63470.0,5,11.0,6.0
114,18.0,17294.0,5,8.0,8.0
115,27.0,47579.0,4,14.0,7.0
116,48.0,50469.0,3,5.0,4.0
117,25.0,51548.0,4,12.0,2.0
118,27.0,77257.0,2,4.0,6.0
119,39.0,49580.0,5,1.0,4.0
120,,39644.0,3,15.0,8.0
121,31.0,43250.0,4,9.0,
122,32.0,50600.0,4,5.0,8.0
123,45.0,36224.0,2,2.0,5.0
124,38.0,26824.0,1,7.0,10.0
125,,37881.0,4,18.0,5.0
126,39.0,45708.0,1,12.0,2.0
127,36.0,74800.0,3,17.0,9.0
128,38.0,40414.0,3,14.0,9.0
129,59.0,40910.0,2,19.0,9.0
130,31.0,29279.0,5,11.0,10.0
131,29.0,70101.0,4,16.0,7.0
132,52.0,55520.0,3,0.0,2.0
133,27.0,310415.0,5,12.0,5.0
134,56.0,57049.0,3,0.0,3.0
135,33.0,39318.0,5,16.0,5.0
136,36.0,53115.0,1,29.0,4.0
137,44.0,35174.0,4,8.0,2.0
138,50.0,57103.0,4,20.0,2.0
139,47.0,67970.0,2,16.0,10.0
140,33.0,88764.0,4,8.0,9.0
141,31.0,36719.0,2,7.0,3.0
142,39.0,68523.0,3,14.0,1.0
143,37.0,63179.0,3,11.0,8.0
144,27.0,32545.0,3,11.0,5.0
145,40.0,53666.0,4,9.0,7.0
146,47.0,70446.0,2,8.0,4.0
147,37.0,40574.0,3,4.0,9.0
148,54.0,56623.0,3,0.0,4.0
149,40.0,47625.0,3,9.0,1.0
150,33.0,55298.0,3,12.0,4.0
151,36.0,39080.0,3,0.0,9.0
152,28.0,51378.0,5,5.0,1.0
153,23.0,57216.0,4,0.0,
154,,41910.0,5,15.0,10.0
155,25.0,37621.0,3,17.0,7.0
156,31.0,49029.0,2,6.0,6.0
157,34.0,42483.0,4,9.0,10.0
158,40.0,50547.0,3,12.0,10.0
159,41.0,38665.0,3,8.0,5.0
160,36.0,63446.0,1,14.0,8.0
161,18.0,54070.0,4,23.0,6.0
162,33.0,28859.0,2,17.0,6.0
163,26.0,71848.0,4,16.0,2.0
164,34.0,37516.0,2,23.0,6.0
165,47.0,44931.0,1,1.0,8.0
166,45.0,67261.0,2,12.0,3.0
167,38.0,38093.0,3,0.0,8.0
168,41.0,80925.0,3,22.0,5.0
169,18.0,15103.0,4,15.0,5.0
170,37.0,6670.0,3,9.0,7.0
171,42.0,53355.0,4,7.0,7.0
172,27.0,28467.0,4,6.0,9.0
173,40.0,51217.0,3,8.0,6.0
174,30.0,37361.0,4,0.0,3.0
175,47.0,45487.0,3,6.0,4.0
176,48.0,54339.0,1,6.0,9.0
177,29.0,51496.0,1,4.0,7.0
178,53.0,46196.0,2,6.0,7.0
179,33.0,42877.0,5,8.0,4.0
180,60.0,46806.0,3,12.0,2.0
181,29.0,39729.0,3,16.0,9.0
182,36.0,67691.0,5,7.0,7.0
183,38.0,34038.0,1,0.0,7.0
184,26.0,54125.0,3,8.0,10.0
185,18.0,54981.0,2,4.0,7.0
186,25.0,23350.0,1,10.0,5.0
187,48.0,54785.0,1,-0.0,5.0
188,31.0,335050.0,4,4.0,2.0
189,31.0,46704.0,3,4.0,2.0
190,53.0,60117.0,5,12.0,5.0
191,41.0,49003.0,3,4.0,3.0
192,43.0,52419.0,4,4.0,4.0
193,45.0,62822.0,4,8.0,3.0
194,24.0,47501.0,3,12.0,4.0
195,36.0,58484.0,3,4.0,5.0
196,37.0,26719.0,3,0.0,9.0
197,33.0,51505.0,4,3.0,3.0
198,22.0,23413.0,3,9.0,6.0
199,41.0,43762.0,4,12.0,5.0
200,18.0,39750.0,4,20.0,4.0
201,24.0,56212.0,3,1.0,9.0
202,25.0,43660.0,4,4.0,2.0
203,30.0,77893.0,4,15.0,2.0
204,45.0,44102.0,2,4.0,7.0
205,55.0,34091.0,4,12.0,6.0
206,56.0,18721.0,4,15.0,
207,45.0,49621.0,2,8.0,3.0
208,40.0,44972.0,1,14.0,9.0
209,18.0,61546.0,1,21.0,1.0
210,49.0,63103.0,4,15.0,2.0
211,67.0,61539.0,4,14.0,7.0
212,40.0,36182.0,4,19.0,4.0
213,38.0,31353.0,2,19.0,4.0
214,43.0,43648.0,4,21.0,1.0
215,44.0,36352.0,3,6.0,5.0
216,37.0,52010.0,4,8.0,7.0
217,31.0,45501.0,3,5.0,9.0
218,39.0,60708.0,1,8.0,2.0
219,19.0,42107.0,2,1.0,1.0
220,18.0,22206.0,5,2.0,5.0
221,51.0,60276.0,4,8.0,9.0
222,30.0,88592.0,3,0.0,6.0
223,44.0,59575.0,5,5.0,7.0
224,54.0,26627.0,2,2.0,2.0
225,50.0,27681.0,3,16.0,2.0
226,28.0,74034.0,1,17.0,7.0
227,39.0,47941.0,3,13.0,9.0
228,21.0,49833.0,5,15.0,8.0
229,34.0,41376.0,2,19.0,2.0
230,48.0,64884.0,3,15.0,6.0
231,35.0,53154.0,3,13.0,9.0
232,18.0,31921.0,4,0.0,6.0
233,18.0,42457.0,4,0.0,7.0
234,25.0,45649.0,3,10.0,5.0
235,51.0,42869.0,2,17.0,8.0
236,37.0,61136.0,3,11.0,2.0
237,37.0,36909.0,3,11.0,3.0
238,19.0,43550.0,3,1.0,5.0
239,37.0,74638.0,2,5.0,5.0
240,,76092.0,2,20.0,2.0
241,39.0,78518.0,4,7.0,7.0
242,49.0,56276.0,3,8.0,4.0
243,25.0,62593.0,2,4.0,2.0
244,48.0,38033.0,5,21.0,6.0
245,26.0,39497.0,2,3.0,6.0
246,37.0,27670.0,3,15.0,8.0
247,33.0,57465.0,4,-0.0,5.0
248,36.0,60773.0,3,0.0,3.0
249,53.0,58961.0,5,11.0,
250,46.0,45102.0,5,7.0,4.0
251,27.0,44329.0,1,18.0,6.0
252,,64310.0,2,14.0,3.0
253,46.0,34900.0,3,18.0,3.0
254,44.0,53120.0,3,9.0,9.0
255,37.0,68494.0,5,9.0,9.0
256,,58055.0,2,9.0,3.0
257,54.0,56182.0,2,26.0,1.0
258,18.0,57767.0,4,7.0,5.0
259,26.0,57189.0,4,19.0,8.0
260,18.0,48048.0,3,0.0,6.0
261,39.0,24880.0,5,0.0,6.0
262,29.0,22055.0,1,10.0,4.0
263,60.0,54123.0,4,4.0,6.0
264,35.0,46523.0,3,0.0,5.0
265,32.0,77298.0,1,23.0,4.0
266,42.0,52224.0,4,18.0,9.0
267,26.0,82500.0,5,18.0,5.0
268,22.0,37613.0,1,11.0,8.0
269,41.0,71815.0,4,16.0,3.0
270,,57740.0,2,5.0,6.0
271,47.0,70635.0,2,12.0,4.0
272,,37620.0,3,12.0,4.0
273,36.0,38582.0,1,20.0,3.0
274,,42334.0,1,15.0,9.0
275,34.0,73016.0,4,5.0,4.0
276,40.0,57980.0,3,4.0,1.0
277,30.0,69317.0,5,22.0,2.0
278,18.0,34089.0,4,4.0,6.0
279,36.0,75370.0,3,4.0,3.0
280,29.0,69269.0,2,12.0,9.0
281,18.0,41130.0,2,0.0,8.0
282,44.0,39291.0,4,-0.0,9.0
283,30.0,49463.0,3,15.0,5.0
284,18.0,58642.0,5,14.0,3.0
285,34.0,47552.0,2,13.0,3.0
286,27.0,59716.0,4,27.0,7.0
287,18.0,32633.0,3,16.0,8.0
288,39.0,70158.0,2,18.0,1.0
289,22.0,68041.0,5,2.0,5.0
